case_type,ipc_section,case_facts_summary,evidence_strength,past_criminal_record,severity,victim_impact,outcome,base_probability
Civil,CPC 9,Case depends mainly on assumptions without physical proof.,Weak,Serious,Medium,Severe,Acquittal,29
Family,IPC 125,"Case supported by documentary proof, eyewitness testimony, and forensic evidence.",Strong,None,Low,Low,Conviction,73
Civil,CPC 34,Bank records and official documents strongly establish the offense.,Strong,Serious,Low,Severe,Conviction,81
Family,IPC 498A,"No documentary proof, allegations based primarily on verbal claims.",Weak,Minor,Low,Severe,Acquittal,31
Family,IPC 498A,Partial documentation available along with verbal witness statements.,Moderate,Minor,High,Low,Mediation,53
Criminal,IPC 376,Partial documentation available along with verbal witness statements.,Moderate,None,Low,Moderate,Conviction,47
Property,IPC 420,Case depends mainly on assumptions without physical proof.,Weak,None,Low,Low,Acquittal,35
Civil,CPC 9,Medical records exist but lack corroborative digital evidence.,Moderate,None,High,Low,Mediation,59
Property,IPC 447,Circumstantial evidence supported by limited witnesses.,Moderate,Minor,High,Moderate,Mediation,54
Property,IPC 406,"No documentary proof, allegations based primarily on verbal claims.",Weak,Serious,Low,Severe,Acquittal,29
Civil,CPC 34,"No documentary proof, allegations based primarily on verbal claims.",Weak,Serious,Low,Severe,Acquittal,29
Civil,CPC 9,Medical records exist but lack corroborative digital evidence.,Moderate,Serious,Medium,Moderate,Settlement,46
Family,IPC 125,"No documentary proof, allegations based primarily on verbal claims.",Weak,None,Medium,Low,Acquittal,34
Family,IPC 125,Partial documentation available along with verbal witness statements.,Moderate,Minor,High,Severe,Conviction,60
Criminal,IPC 376,Partial documentation available along with verbal witness statements.,Moderate,None,High,Moderate,Conviction,49
Property,IPC 420,Bank records and official documents strongly establish the offense.,Strong,None,Medium,Low,Conviction,71
Property,IPC 420,Witness statements are contradictory and lack supporting evidence.,Weak,None,Medium,Low,Acquittal,34
Criminal,IPC 379,"Case supported by documentary proof, eyewitness testimony, and forensic evidence.",Strong,Serious,Low,Severe,Conviction,81
Property,IPC 420,Medical records exist but lack corroborative digital evidence.,Moderate,None,Low,Severe,Settlement,52
Property,IPC 406,"CCTV footage, medical records, and witness statements clearly support allegations.",Strong,Serious,High,Low,Conviction,72
Civil,CPC 34,Partial documentation available along with verbal witness statements.,Moderate,Serious,Low,Severe,Conviction,64
Family,IPC 125,"Case supported by documentary proof, eyewitness testimony, and forensic evidence.",Strong,None,Medium,Severe,Conviction,75
Property,IPC 420,"CCTV footage, medical records, and witness statements clearly support allegations.",Strong,Serious,Medium,Moderate,Conviction,75
Family,IPC 498A,Circumstantial evidence supported by limited witnesses.,Moderate,Serious,High,Severe,Settlement,58
Family,IPC 498A,Witness statements are contradictory and lack supporting evidence.,Weak,Minor,High,Low,Acquittal,23
Property,IPC 406,"Case supported by documentary proof, eyewitness testimony, and forensic evidence.",Strong,Serious,Medium,Moderate,Conviction,85
Property,IPC 447,"Case supported by documentary proof, eyewitness testimony, and forensic evidence.",Strong,Serious,Low,Severe,Conviction,71
Property,IPC 420,Circumstantial evidence supported by limited witnesses.,Moderate,None,Medium,Low,Settlement,48
Civil,CPC 34,"Case supported by documentary proof, eyewitness testimony, and forensic evidence.",Strong,Minor,High,Severe,Conviction,90
Civil,CPC 9,Circumstantial evidence supported by limited witnesses.,Moderate,Serious,Medium,Moderate,Conviction,48
Property,IPC 420,Medical records exist but lack corroborative digital evidence.,Moderate,Serious,Medium,Low,Settlement,60
Family,IPC 498A,"CCTV footage, medical records, and witness statements clearly support allegations.",Strong,Minor,Low,Moderate,Conviction,90
Property,IPC 447,Bank records and official documents strongly establish the offense.,Strong,None,Low,Moderate,Conviction,73
Property,IPC 447,Case depends mainly on assumptions without physical proof.,Weak,None,Low,Severe,Acquittal,21
Civil,CPC 34,Bank records and official documents strongly establish the offense.,Strong,Serious,Medium,Severe,Conviction,74
Civil,CPC 9,"No documentary proof, allegations based primarily on verbal claims.",Weak,Serious,Low,Moderate,Acquittal,27
Family,IPC 498A,"Case supported by documentary proof, eyewitness testimony, and forensic evidence.",Strong,Serious,High,Moderate,Conviction,79
Family,IPC 498A,Circumstantial evidence supported by limited witnesses.,Moderate,Serious,High,Moderate,Mediation,58
Criminal,IPC 354,Witness statements are contradictory and lack supporting evidence.,Weak,Serious,High,Severe,Acquittal,29
Family,IPC 125,"Case supported by documentary proof, eyewitness testimony, and forensic evidence.",Strong,Minor,High,Low,Conviction,85
Criminal,IPC 376,Case depends mainly on assumptions without physical proof.,Weak,None,Medium,Low,Acquittal,15
Civil,CPC 9,"CCTV footage, medical records, and witness statements clearly support allegations.",Strong,Minor,Medium,Low,Conviction,79
Family,IPC 498A,Circumstantial evidence supported by limited witnesses.,Moderate,None,High,Severe,Settlement,46
